asset_path,type,description,source,author,license,license_url,added_commit,notes
# Every shipped binary asset (icon, sound, font, wallpaper, cursor) MUST have a row here.
# CI fails the build if a binary asset lands under branding/ or themes/ without a matching row.
# See docs/PROJECT_BIBLE.md §3.9 (Asset provenance & the "clean room" discipline).
# type: icon | sound | font | wallpaper | cursor | boot | login | other
# license: an SPDX identifier (e.g. CC0-1.0, CC-BY-4.0, OFL-1.1, GPL-2.0-or-later) or "Original-Castalia".
# NOTHING derived from, traced from, or sampled from Microsoft assets may ever appear here.
# --- rows below this line ---
branding/spec/controls.svg,other,Window-control geometry spec sheet (min/max/close per Bible §8.3),original,Tombatossals Softworks,Original-Castalia,,pending,Design token; not derived from any Microsoft asset
branding/logo/castalia-logo.png,icon,"Castalia mark v0.2 — the official artwork: the C monogram with the keep on green hills (Bible §21.2)",original,Tombatossals Softworks,Original-Castalia,,pending,"Supplied by the project owner; 256x280 RGBA. The on-screen logo above 32 px; castalia-mark.svg is the vector edition used below that and by the boot/login documents"
branding/logo/castalia-mark.svg,icon,"Castalia mark v0.2, vector edition — the same C monogram keep drawn as geometry (Bible §21.2)",original,Tombatossals Softworks,Original-Castalia,,pending,"Pure geometry; no fonts or rasters; used below 32 px and by the boot splash / login banner; mirrored by castalia::drawMarkVector()"
branding/wallpapers/valle-de-castalia.jpg,wallpaper,"""Valle de Castalia"" — the shipped default: the keep over the river valley, with the wordmark (Bible §21.3)",original,Tombatossals Softworks,Original-Castalia,,pending,"Supplied by the project owner as PNG; re-encoded to JPEG (2048x1152, q92) — 3.2 MB to 391 KiB, verified artefact-free on the wordmark"
branding/wallpapers/castalia-neon.jpg,wallpaper,"""Castalia neón"" — the keeps city at night, neon and glass (Bible §21.3)",original,Tombatossals Softworks,Original-Castalia,,pending,"Supplied by the project owner as WebP; re-encoded to JPEG (2560x1664, q90). Qt 5 base ships no WebP plugin"
branding/wallpapers/nebulosa-de-castalia.jpg,wallpaper,"""Nebulosa de Castalia"" — deep-sky nebula in the Castalia blues (Bible §21.3)",original,Tombatossals Softworks,Original-Castalia,,pending,"Supplied by the project owner as WebP; re-encoded to JPEG (2560x1664, q90)"
branding/wallpapers/mar-de-nubes.jpg,wallpaper,"""Mar de nubes"" — an iridescent sea of clouds (Bible §21.3)",original,Tombatossals Softworks,Original-Castalia,,pending,"Supplied by the project owner as WebP; re-encoded to JPEG (2560x1664, q90)"
branding/wallpapers/castalia-minimal.jpg,wallpaper,"""Castalia minimalista"" — the keep as flat gradient shapes on paper (Bible §21.3)",original,Tombatossals Softworks,Original-Castalia,,pending,"Supplied by the project owner as WebP; re-encoded to JPEG (2560x1664, q92)"
branding/wallpapers/pradera-de-castalia.jpg,wallpaper,"""Pradera de Castalia"" — the keep on green hills under a summer sky (Bible §21.3)",original,Tombatossals Softworks,Original-Castalia,,pending,"Supplied by the project owner; 2560x1664 JPEG. Decoded scaled (QImageReader::setScaledSize) so the FLOOR tier never materialises the full frame"
branding/wallpapers/azure-bay.svg,wallpaper,"""Azure Bay"" wallpaper source — Mediterranean bay at golden hour with keep silhouette (Bible §21.3)",original,Tombatossals Softworks,Original-Castalia,,pending,Raster sizes baked from this SVG source
branding/wallpapers/human-dawn.svg,wallpaper,"""Human Dawn"" wallpaper source — sun-orange dawn over baked earth with keep silhouette; the Human theme's desktop",original,Tombatossals Softworks,Original-Castalia,,pending,Raster sizes baked from this SVG source; no Microsoft or Canonical asset referenced
branding/wallpapers/marine-deep.svg,wallpaper,"""Marine Deep"" wallpaper source — cool marine bay after sunset with keep silhouette; the Azul theme's desktop",original,Tombatossals Softworks,Original-Castalia,,pending,Raster sizes baked from this SVG source
branding/wallpapers/olive-dusk.svg,wallpaper,"""Olive Dusk"" wallpaper source — olive hills under a warm dusk with keep silhouette; the Oliva theme's desktop",original,Tombatossals Softworks,Original-Castalia,,pending,Raster sizes baked from this SVG source
branding/wallpapers/silver-morning.svg,wallpaper,"""Silver Morning"" wallpaper source — silver-grey morning haze over layered ridges; the Plata theme's desktop",original,Tombatossals Softworks,Original-Castalia,,pending,Raster sizes baked from this SVG source
branding/wallpapers/midnight-keep.svg,wallpaper,"""Midnight Keep"" wallpaper source — graphite night with a sky-blue aurora over the bay; the Medianoche dark theme's desktop",original,Tombatossals Softworks,Original-Castalia,,pending,Raster sizes baked from this SVG source
branding/login/banner.svg,login,Login banner — chocolate plate + dawn roundel + wordmark for the greeter (Bible §6.6 §21.2),original,Tombatossals Softworks,Original-Castalia,,pending,Roundel drawn from the mark's keep geometry; wordmark set in DejaVu Sans (shipped libre font)
themes/icons/48/folder.svg,icon,Folder icon — tangerine sun-orange folder with tango outline; the Human signature (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/computer.svg,icon,Computer icon — CRT-era monitor with tangerine screen glow (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/documents.svg,icon,Documents icon — paper sheets with folded corner and sun-orange heading (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/network.svg,icon,Network places icon — sky-blue globe with tango depth (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/trash.svg,icon,Recycle bin icon — brushed aluminium with tango shading (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/settings.svg,icon,Settings icon — aluminium gear with sun-orange hub (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/disk.svg,icon,Hard disk icon — tango aluminium drive with sun-orange activity LED (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/help.svg,icon,Help icon — sun-orange roundel with drawn question glyph (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; glyph is a path not a font
themes/icons/48/home.svg,icon,Home icon — chocolate roof and arched sun-orange door echoing the mark (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/terminal.svg,icon,Terminal icon — charcoal screen with sun-orange prompt (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/calculator.svg,icon,Calculator icon — aluminium body with warm display and sun-orange equals key (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/media-player.svg,icon,Media player icon — charcoal screen with sun-orange play triangle (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/image-viewer.svg,icon,Image viewer icon — framed miniature Human Dawn (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/archive.svg,icon,Archive icon — chocolate box with zip strip and sun-orange pull (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/printer.svg,icon,Printer icon — tango aluminium with sun-orange ready LED (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/paint.svg,icon,Paint icon — sun-orange brushstroke and chocolate-handled brush (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/search.svg,icon,Search icon — sky-blue lens with sun-orange handle over a document (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/text-editor.svg,icon,Text editor icon (Notas) — sheet with butter pencil (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/sticky-note.svg,icon,Sticky notes icon — butter note with curled corner (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/richtext.svg,icon,Rich text icon (Escritor) — drawn chocolate capital with sun-orange rule (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; glyph is a path not a font
themes/icons/48/clock.svg,icon,Clock icon (Reloj) — aluminium ring with sun-orange hands (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/magnifier.svg,icon,Magnifier icon (Lupa) — sky-blue lens with sun-orange handle (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
